STATEFP,COUNTYFP,state_abb,state,county,pct.forest,pct.employees,pct.earnings,pct.indigenous,nonmetro,rural
2,180,AK,Alaska,Nome Census Area,7.8,0,0,74.95,1,0
2,185,AK,Alaska,North Slope Borough,0.1,0,0,53.77,1,0
2,188,AK,Alaska,Northwest Arctic Borough,8.7,0,0,82.52,1,0
2,198,AK,Alaska,Prince of Wales-Hyder Census Area,78.1,12.16,16.83,40.53,1,1
2,220,AK,Alaska,Sitka City and Borough,59.1,0,0,12.89,1,0
2,230,AK,Alaska,Skagway Municipality,19,0,0,5.18,1,1
2,240,AK,Alaska,Southeast Fairbanks Census Area,41.6,0,0,13.22,1,1
2,261,AK,Alaska,Valdez-Cordova Census Area,24.5,0,0,13.39,1,1
2,275,AK,Alaska,Wrangell City and Borough,55,0,0,20.33,1,1
2,282,AK,Alaska,Yakutat City and Borough,16.8,0,0,30.62,1,1
2,290,AK,Alaska,Yukon-Koyukuk Census Area,38.1,0,0,70.54,1,1
4,1,AZ,Arizona,Apache,39.79,1.12,0.94,73.72,1,0
4,3,AZ,Arizona,Cochise,25.49,0,0,1.67,0,0
4,5,AZ,Arizona,Coconino,37.66,0.11,0.11,26.79,0,0
4,7,AZ,Arizona,Gila,56.51,0.33,0.23,16.07,1,0
4,9,AZ,Arizona,Graham,31.71,0,0,12.83,1,0
4,11,AZ,Arizona,Greenlee,55.28,0,0,4.59,1,0
4,12,AZ,Arizona,La Paz,0.16,0,0,14.16,1,0
4,13,AZ,Arizona,Maricopa,1.28,0.39,0.32,2.17,0,0
4,15,AZ,Arizona,Mohave,17.13,0,0,2.61,0,0
4,17,AZ,Arizona,Navajo,33.52,1.32,1.39,44.54,1,0
4,19,AZ,Arizona,Pima,13.08,0.14,0.12,3.9,0,0
4,21,AZ,Arizona,Pinal,5.8,0.06,0.08,5.29,0,0
4,23,AZ,Arizona,Santa Cruz,47.66,0.11,0.1,0.78,1,0
4,25,AZ,Arizona,Yavapai,33.16,0.1,0.14,1.53,0,0
4,27,AZ,Arizona,Yuma,0.37,1.59,1.84,1.35,0,0
5,1,AR,Arkansas,Arkansas,29.65,0,0,0.1,1,0
5,3,AR,Arkansas,Ashley,69.31,31.87,46.79,0.24,1,0
5,5,AR,Arkansas,Baxter,57.85,0,0,0.35,1,0
5,7,AR,Arkansas,Benton,40.66,0.18,0.1,1.99,0,0
5,9,AR,Arkansas,Boone,44.07,2.28,2.12,0.87,1,0
5,11,AR,Arkansas,Bradley,88.35,34.52,43.3,1.16,1,0
5,13,AR,Arkansas,Calhoun,87.8,2.83,2.51,0.33,1,1
5,15,AR,Arkansas,Carroll,51.64,0,0,1.42,1,0
5,17,AR,Arkansas,Chicot,28.86,0,0,0.22,1,0
5,19,AR,Arkansas,Clark,83.15,15.99,24.76,0.42,1,0
5,21,AR,Arkansas,Clay,17.54,1.8,1.64,0.44,1,0
5,23,AR,Arkansas,Cleburne,72.2,0.25,0.27,1.08,1,0
5,25,AR,Arkansas,Cleveland,86.55,14.95,22.15,0.16,0,0
5,27,AR,Arkansas,Columbia,89.89,12.3,13.1,0.36,1,0
5,29,AR,Arkansas,Conway,49.99,10.54,21.89,0.31,1,0
5,31,AR,Arkansas,Craighead,12.11,0,0,0.64,0,0
5,33,AR,Arkansas,Crawford,59.08,0,0,1.99,0,0
5,35,AR,Arkansas,Crittenden,10.62,0.05,0.03,0.47,0,0
5,37,AR,Arkansas,Cross,11.91,0,0,0.14,1,0
5,39,AR,Arkansas,Dallas,96.33,20.49,26.07,0.62,1,0
5,41,AR,Arkansas,Desha,29.89,0,0,0.25,1,0
5,43,AR,Arkansas,Drew,78.69,12.1,15.87,0.1,1,0
5,45,AR,Arkansas,Faulkner,50.14,2.65,3.71,0.54,0,0
5,47,AR,Arkansas,Franklin,53.38,0.39,0.32,1.74,1,0
5,49,AR,Arkansas,Fulton,61.32,0,0,0.49,1,1
